Zona,Year,Quarter,days,WPD_mean,WPD_p50,E_free_kWh_m2,E_free_low_kWh_m2,E_free_high_kWh_m2,FNRR_q,coh_q,E_usable_kWh_m2,E_usable_low_kWh_m2,E_usable_high_kWh_m2
2,2028,2028Q1,91,4.24483281981267,4.22819709901149,9.27071487847088,0,411.007218550718,0.0855569847054792,0.914443015294521,8.47754046740469,0,375.842680239332
2,2028,2028Q2,91,5.27353446631287,5.15296319201079,11.5173992744273,0,529.054596965535,0.14870295468542,0.851297045314581,9.80472797202826,0,450.382615206856
2,2028,2028Q3,92,11.2266072229222,11.5973161070183,24.7883487482122,0,973.623662498378,0.151163085509638,0.848836914490362,21.0412654667434,0,826.44770554993
2,2028,2028Q4,92,4.51669567007945,4.07076869032455,9.97286403953543,0,534.545835504312,0.214085583891298,0.785914416108702,7.83781761856296,0,420.10727819371
3,2017,2017Q1,90,7.06263278255524,5.26013927749179,15.2552868103193,0,0,0.560025975925974,0.439974024074026,6.7119299263396,0,0
3,2017,2017Q2,91,11.4455863527252,7.19722210408337,24.9971605943519,0,0,0.522072392137857,0.477927607862143,11.9468331662044,0,0
3,2017,2017Q3,92,23.1667932421889,14.527107773749,51.152279478753,0,0,0.539528878373926,0.460471121626074,23.5541475053118,0,0
3,2017,2017Q4,92,10.3520827408407,6.84574233568011,22.8573986917762,0,0,0.516297962753191,0.483702037246809,11.0561703133747,0,0
3,2018,2018Q1,90,8.90175660547347,6.22724135017422,19.2277942678227,0,0,0.488429649480166,0.511570350519834,9.83636945331332,0,0
3,2018,2018Q2,91,14.1453383872085,11.5447244833598,30.8934190376634,0,0,0.432352605802864,0.567647394197136,17.5365688145698,0,0
3,2018,2018Q3,92,40.4951072913363,34.924799554294,89.4131968992705,0,0,0.459830520025772,0.540169479974228,48.2982800719123,0,0
3,2018,2018Q4,92,9.13264477717936,8.04023737824712,20.164879668012,0,0,0.423451019468865,0.576548980531135,11.6260408151254,0,0
3,2019,2019Q1,90,12.5265944564319,10.4106768769036,27.057444025893,0,0,0.441150746674978,0.558849253325022,15.1210323907539,0,0
3,2019,2019Q2,91,31.7613042408212,14.8363079735863,69.3666884619535,0,0,0.611227323290755,0.388772676709245,26.9678731478099,0,0
3,2019,2019Q3,92,28.6649879386547,21.3968176924744,63.2922933685496,0,0,0.454716970145812,0.545283029854188,34.5122134944229,0,0
3,2019,2019Q4,92,8.28375173582634,7.00300768268389,18.2905238327046,0,0,0.390862188144203,0.609137811855797,11.14144966515,0,0
3,2020,2020Q1,91,12.3386996535724,7.82283135619007,26.9477200434022,0,0,0.489519542588797,0.510480457411203,13.756284453945,0,0
3,2020,2020Q2,91,13.4274477433106,10.1654321206947,29.3255458713903,0,0,0.453638066987214,0.546361933012786,16.0223619289479,0,0
3,2020,2020Q3,92,19.9906133683964,17.2375905599761,44.1392743174191,0,0,0.412857825697029,0.587142174302971,25.9160294948848,0,0
3,2020,2020Q4,92,14.7710332666789,14.0104292796321,32.614441452827,0,0,0.403415158511393,0.596584841488607,19.4572813843742,0,0
3,2021,2021Q1,90,9.40137978176542,8.95312686388369,20.3069803286133,0,0,0.240710310310302,0.759289689689698,15.4188807922476,0,0
3,2021,2021Q2,91,4.01678916137318,3.95992755277384,8.77266752843902,0,0,0.366879970732589,0.633120029267411,5.55415152235858,0,0
3,2021,2021Q3,92,6.42456232281532,4.14110178356474,14.1854336087762,0,0,0.518711541433083,0.481288458566917,6.82728547567125,0,0
3,2021,2021Q4,92,2.36788049381927,2.16723055951196,5.22828013035294,0,0,0.351674108818158,0.648325891181842,3.38962937485939,0,0
3,2022,2022Q1,90,1.6708614260603,1.42132181610587,3.60906068029026,0,0,0.36180764518895,0.63819235481105,2.30327493421041,0,0
3,2022,2022Q2,91,3.30737129740852,2.51925808406877,7.2232989135402,0,0,0.454536134737778,0.545463865262222,3.94004854532405,0,0
3,2022,2022Q3,92,4.60837089364404,4.81343728466027,10.175282933166,1.61885564614621,37.9219421455974,0.153515502624969,0.846484497375031,8.61321925932979,1.37033620795081,32.100336136601
3,2022,2022Q4,92,1.71642462182605,1.63442690580884,3.78986556499191,0.00637082671517468,19.2969692650845,0.167145716061805,0.832854283938195,3.15640577135336,0.00530597032196113,16.0715635194493
3,2023,2023Q1,90,1.80363426489935,1.82355998777146,3.89585001218261,0,21.5739752235341,0.129946239204574,0.870053760795426,3.38959895459438,0,18.7705182785432
3,2023,2023Q2,91,2.39190126258182,2.19602546434547,5.22391235747869,0.0222556968051168,29.6193694719225,0.243680304523221,0.756319695476779,3.95094780340566,0.0168324218302695,22.4017124992186
3,2023,2023Q3,92,4.63923039302815,4.84483509108683,10.2434207078062,0.530644512351219,55.3094941013677,0.147805537078292,0.852194462921708,8.72938640856997,0.452212315205499,47.1344446201865
3,2023,2023Q4,92,1.72120848275531,1.63165451204247,3.80042832992373,0,27.77336243069,0.170733002641888,0.829266997358113,3.15156978983056,0,23.0315328694369
3,2024,2024Q1,91,1.80010403318549,1.82788648040586,3.93142720847712,0,30.6091079985287,0.130199688983165,0.869800311016835,3.41955660867345,0,26.6238116570682
3,2024,2024Q2,91,2.4130713529126,2.22477599681896,5.27014783476113,0,40.9153433627025,0.244287037483623,0.755712962516377,3.9827190331066,0,30.9202553450027
3,2024,2024Q3,92,4.63249753112835,4.82318954133875,10.2285545487314,0.0376985944502812,74.2323882581464,0.149150150023864,0.850849849976136,8.70296410326084,0.032075843432333,63.1606164128141
3,2024,2024Q4,92,1.71342478165746,1.64350938454814,3.78324191789968,0,37.1198913055144,0.162851964715731,0.837148035284269,3.16713353857481,0,31.074844076377
3,2025,2025Q1,90,1.79910827141695,1.82416143564063,3.88607386626061,0,40.04056480425,0.128900962660981,0.871099037339019,3.38515520392793,0,34.8792974554928
3,2025,2025Q2,91,2.40767031795817,2.1970141089326,5.25835197442064,0,53.2581876036977,0.246198333316642,0.753801666683358,3.96375448232601,0,40.1461105802023
3,2025,2025Q3,92,4.63282159563277,4.78147834072589,10.2292700831572,0,95.5509309778521,0.148552039335427,0.851447960664574,8.7096911513913,0,81.3566453206935
3,2025,2025Q4,92,1.71469319085178,1.63971338759021,3.78604256540073,0,47.7222669127009,0.163965821510821,0.836034178489179,3.16526098588986,0,39.8974462140012
3,2026,2026Q1,90,1.80122780914457,1.82076964553352,3.89065206775226,0,51.076302516707,0.128857959384984,0.871142040615016,3.38931058162474,0,44.494714401474
3,2026,2026Q2,91,2.40049418035122,2.26622056436037,5.24267928988707,0,67.0873722158497,0.245828826502834,0.754171173497166,3.95387759232342,0,50.5953622308685
3,2026,2026Q3,92,4.63572618511438,4.77310637896945,10.2356834167326,0,119.61576746758,0.147950041344683,0.852049958655316,8.72131363203589,0,101.918609725276
3,2026,2026Q4,92,1.71748720796833,1.62605306252618,3.79221175519406,0,59.702441134593,0.166176255356076,0.833823744643924,3.16203620619862,0,49.7813130312298
3,2027,2027Q1,90,1.8021186007455,1.82876056651692,3.89257617761028,0,63.4823741249495,0.12901197099263,0.870988029007371,3.39038725269782,0,55.2923879157983
3,2027,2027Q2,91,2.39279569632048,2.2412600834556,5.22586580076394,0,82.5828333002225,0.244809002861245,0.755190997138755,3.94652680499224,0,62.3658122265386
3,2027,2027Q3,92,4.64044947385342,4.78373433619405,10.2461124382683,0,146.743062586976,0.14684541169969,0.85315458830031,8.74151783894951,0,125.194517147318
3,2027,2027Q4,92,1.71852581287809,1.63513316384315,3.79450499483482,0,73.1355254454351,0.167381941099586,0.832618058900414,3.1593733832873,0,60.89395923304
3,2028,2028Q1,91,1.80006478195813,1.82542313134887,3.93134148379656,0,78.2147298427516,0.130062042407417,0.869937957592583,3.42002318101297,0,68.041962333059
3,2028,2028Q2,91,2.41327332082119,2.21757339614559,5.27058893267348,0,100.818865219945,0.244473510032508,0.755526489967493,3.9820695563643,0,76.1713233621306
3,2028,2028Q3,92,4.6283276854879,4.8428531936999,10.2193475295573,0,176.731514607803,0.150744540873369,0.849255459126631,8.67883667818877,0,150.090203580395
3,2028,2028Q4,92,1.71520461411499,1.63010212824612,3.78717178796591,0,88.1040867441101,0.166574394728816,0.833425605271184,3.15632593965144,0,73.4282018215749
4,2019,2019Q1,1,35.6783041651586,35.6783041651586,0.856279299963805,0,0,,,,,
4,2019,2019Q2,91,1.55387031463284,1.44573687613193,3.39365276715812,0,0,0.376987894396128,0.623012105603872,2.11428675615558,0,0
4,2019,2019Q3,92,2.94873980042148,2.91151336738942,6.51081747933063,0,0,0.156248227627536,0.843751772372464,5.49351378777884,0,0
4,2019,2019Q4,92,5.36461675762173,5.30461483511545,11.8450738008288,0,0,0.140940312995703,0.859059687004297,10.1756253918828,0,0
4,2020,2020Q1,91,9.22987845564856,9.1354756297093,20.1580545471365,0,0,0.13165623912625,0.86834376087375,17.5041208973587,0,0
4,2020,2020Q2,91,15.4032840065297,15.2519120844082,33.6407722702609,0,0,0.127154088319297,0.872845911680703,29.3632105418788,0,0
4,2020,2020Q3,92,25.3758618798512,25.1272055222385,56.0299030307115,0,0,0.125672013736052,0.874327986263948,48.9885122874063,0,0
4,2020,2020Q4,92,16.9019724407267,11.7141732996701,37.3195551491245,0,0,0.421961103927816,0.578038896072184,21.5721544603049,0,0
4,2021,2021Q1,90,5.59720769784053,5.47075830816908,12.0899686273355,0,0,0.188826461612778,0.811173538387222,9.80706263042627,0,0
4,2021,2021Q2,91,10.7794255515063,3.51229983951769,23.5422654044899,0,0,0.530420456309708,0.469579543690292,11.0549662460761,0,0
4,2021,2021Q3,92,26.1518704913893,20.3495731417397,57.7433300449876,0,0,0.437092095967516,0.562907904032484,32.5041768874799,0,0
4,2021,2021Q4,92,9.35504033144472,6.16449999643921,20.6559290518299,0,0,0.534815463363989,0.465184536636011,9.60881878476182,0,0
4,2022,2022Q1,90,3.99010060315512,4.35589318939666,8.61861730281506,0,0,0.423629667767965,0.576370332232035,4.96751531820428,0,0
4,2022,2022Q2,91,7.56800425321872,6.2710141376201,16.5285212890297,0,0,0.473407290921356,0.526592709078644,8.70379880265418,0,0
4,2022,2022Q3,92,9.63098637455425,9.83635142480619,21.2652179150158,6.2703581134918,63.526062473719,0.0712297173091035,0.928770282690896,19.7505024544127,5.82372227764094,59.0011190019555
4,2022,2022Q4,92,6.20926607269737,5.85503761692725,13.7100594885158,2.12972056799634,56.5335138754906,0.199906353150886,0.800093646849114,10.9693314946849,1.70397589601775,45.2321052858362
4,2023,2023Q1,90,4.18413375256524,4.19320494402174,9.03772890554093,0.210939830186273,50.944242480273,0.0191704037232229,0.980829596276777,8.86447199368067,0.206896028480294,49.9676207845524
4,2023,2023Q2,91,5.34776786356798,5.04225194833069,11.6795250140325,0.198485816090652,78.9489472524703,0.152622303833508,0.847377696166492,9.89696899870975,0.168192453560623,66.8995770375682
4,2023,2023Q3,92,9.55550264308577,9.83897562056268,21.0985498359334,1.13192265816435,160.827134088525,0.0822705499839028,0.917729450016097,19.3627605370684,1.03879875853793,147.595797314727
4,2023,2023Q4,92,6.22240704380706,5.88217746834709,13.739074752726,0.125679165198612,128.125657559903,0.199815140635822,0.800184859364178,10.993799598804,0.100566565129459,102.524211275514
4,2024,2024Q1,91,4.18554957448813,4.19598708083935,9.14124027068208,0,107.001620850281,0.0192895911840851,0.980710408815915,8.96490948294513,0,104.937603328045
4,2024,2024Q2,91,5.37505766193401,5.11524147557848,11.7391259336639,0,153.782819621385,0.15452074600785,0.84547925399215,9.92518743691403,0,130.020183610298
4,2024,2024Q3,92,9.56797638576511,9.8147357540995,21.1260918597694,0,296.405725392561,0.0807762742894192,0.919223725710581,19.4196048690412,0,272.463175217297
4,2024,2024Q4,92,6.17989029281038,5.8865476334349,13.6451977665253,0,226.705930695824,0.199685022217208,0.800314977782792,10.9204561473585,0,181.436151888055
4,2025,2025Q1,90,4.18618372531829,4.19755022222841,9.04215684668751,0,182.25788824679,0.0192438969898251,0.980756103010175,8.86815051176401,0,178.750536219786
4,2025,2025Q2,91,5.36576401037023,5.12926901725856,11.7188285986486,0,256.418567407381,0.153725337291699,0.846274662708301,9.91734771965772,0,217.000536644827
4,2025,2025Q3,92,9.5614510743185,9.77114172097668,21.1116839720953,0,454.800556602474,0.0813578510871068,0.918642148912893,19.3940827312955,0,417.798960644076
4,2025,2025Q4,92,6.19569781160889,5.9247773992746,13.6801007680324,0,362.526226125472,0.200402474890434,0.799597525109566,10.9385747173682,0,289.875073197238
4,2026,2026Q1,90,4.18516491694248,4.19624174199027,9.03995622059575,0,286.3039378625,0.0192531968430148,0.980746803156985,8.86590816402839,0,280.791671789903
4,2026,2026Q2,91,5.35596375152174,5.08709587438618,11.6974248333235,0,386.643001580124,0.152385709401835,0.847614290598165,9.91490445192285,0,327.724133499082
4,2026,2026Q3,92,9.55808872962989,9.78761081151413,21.1042599150228,0,472.448975713921,0.081454411768691,0.918545588231309,19.3852248378311,0,433.965922306423
4,2026,2026Q4,92,6.21104895858399,5.88056423171175,13.7139961005534,0,461.532941474555,0.200614652737507,0.799385347262493,10.9627675351974,0,368.942670693717
4,2027,2027Q1,90,4.18378146015614,4.19583165508588,9.03696795393726,0,425.057108288349,0.0189625905656372,0.981037409434363,8.86560363067197,0,416.996924376863
4,2027,2027Q2,91,5.34680567378196,5.07066981532798,11.6774235915398,0,466.707542892853,0.151628595117719,0.848371404882281,9.90679225776011,0,395.941333833167
4,2027,2027Q3,92,9.55565706568419,9.82909165712489,21.0988908010307,0,472.448975713921,0.0818182423660089,0.918181757633991,19.372616639818,0,433.794030913387
4,2027,2027Q4,92,6.22380885304165,5.85533105870794,13.742169947516,0,472.448975713921,0.200375224248858,0.799624775751142,10.9885795626165,0,377.781906259101
4,2028,2028Q1,91,4.18555121268756,4.19544761568563,9.14124384850964,0,467.313660760509,0.0193144072226487,0.980685592777351,8.96468614229799,0,458.287774415874
4,2028,2028Q2,91,5.37448959860048,5.06788566966834,11.7378852833435,0,467.313660760509,0.153970983142234,0.846029016857766,9.93059154625631,0,395.360916977417
4,2028,2028Q3,92,9.56956912388637,9.8480746543741,21.1296086255411,0,472.448975713921,0.0803998402849799,0.91960015971502,19.4307914667635,0,434.464153523719
4,2028,2028Q4,92,6.18175036965693,5.83686814289076,13.6493048162025,0,472.448975713921,0.199362645026933,0.800637354973067,10.9281433052655,0,378.260298275329
